"sp" "spn" "depth" "taxa" "ntip"
"species" "135" "0.00119273270516483" "Zotu158_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "135" "0.00119273270516483" "Zotu155_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "136" "0.0011937491689237" "Zotu74_P2_D03_12MMOC3R_S504_N708;size=2" "2"
"species" "136" "0.0011937491689237" "Zotu173_P2_G03_2SHCN5C2J_S506_N708;size=1" "2"
"species" "137" "0.00209400668934247" "Zotu45_P1_A01_32TCONS2_S502_N701;size=7" "5"
"species" "137" "0.00209400668934247" "Zotu183_P1_E02_21MMC3_S517_N701;size=2" "5"
"species" "137" "0.00209400668934247" "Zotu40_P1_E02_21MMC3_S517_N701;size=2" "5"
"species" "137" "0.00209400668934247" "Zotu161_P1_D05_13SHC4C1_S505_N703;size=1" "5"
"species" "137" "0.00209400668934247" "Zotu26_P2_A03_11MMOC3W_S502_N708;size=1" "5"
"species" "138" "0.00299759793388398" "Zotu10_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "138" "0.00299759793388398" "Zotu37_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "138" "0.00299759793388398" "Zotu34_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "139" "0.00239409252948206" "Zotu29_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "139" "0.00239409252948206" "Zotu17_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "140" "0.0011937491689237" "Zotu176_P1_D05_13SHC4C1_S505_N703;size=7" "2"
"species" "140" "0.0011937491689237" "Zotu160_P1_E02_21MMC3_S517_N701;size=2" "2"
"species" "141" "0.0011937491689237" "Zotu10_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "141" "0.0011937491689237" "Zotu37_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "142" "0.0011937491689237" "Zotu41_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "142" "0.0011937491689237" "Zotu15_P2_D03_12MMOC3R_S504_N708;size=1" "2"
"species" "143" "0.00199397807596261" "Zotu45_P1_A01_32TCONS2_S502_N701;size=7" "4"
"species" "143" "0.00199397807596261" "Zotu183_P1_E02_21MMC3_S517_N701;size=2" "4"
"species" "143" "0.00199397807596261" "Zotu40_P1_E02_21MMC3_S517_N701;size=2" "4"
"species" "143" "0.00199397807596261" "Zotu161_P1_D05_13SHC4C1_S505_N703;size=1" "4"
"species" "144" "0.00179392084920288" "Zotu45_P1_A01_32TCONS2_S502_N701;size=7" "3"
"species" "144" "0.00179392084920288" "Zotu183_P1_E02_21MMC3_S517_N701;size=2" "3"
"species" "144" "0.00179392084920288" "Zotu40_P1_E02_21MMC3_S517_N701;size=2" "3"
"species" "145" "0.00179392084920288" "Zotu61_P1_G01_8IZTPOCR_S505_N701;size=3" "3"
"species" "145" "0.00179392084920288" "Zotu182_P2_A01_16IZPOC1_S502_N707;size=2" "3"
"species" "145" "0.00179392084920288" "Zotu167_P1_G01_8IZTPOCR_S505_N701;size=1" "3"
"species" "146" "0.0011937491689237" "Zotu45_P1_A01_32TCONS2_S502_N701;size=7" "2"
"species" "146" "0.0011937491689237" "Zotu183_P1_E02_21MMC3_S517_N701;size=2" "2"
"species" "147" "0.0011937491689237" "Zotu141_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
"species" "147" "0.0011937491689237" "Zotu70_P1_G01_8IZTPOCR_S505_N701;size=1" "2"
